Unnamed: 0,acousticness,analysis_url,artist_name,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,streams,tempo,time_signature,track_href,track_name,type,uri,valence,year,popularity,Daily Streams
1607,0.531,https://api.spotify.com/v1/audio-analysis/5uHAzGa4d9j35DEbhUwGhi,WOS,0.62,176395.0,0.741,5uHAzGa4d9j35DEbhUwGhi,2.92e-05,4.0,0.156,-6.081,1.0,0.137,218508325,140.04,4.0,https://api.spotify.com/v1/tracks/5uHAzGa4d9j35DEbhUwGhi,MELÓN VINO,audio_features,spotify:track:5uHAzGa4d9j35DEbhUwGhi,0.353,2019,64.0,"69,174"
1608,0.0219,https://api.spotify.com/v1/audio-analysis/7f1zjZG77S891Uv4O68yfk,DaBaby,0.852,157693.0,0.73,7f1zjZG77S891Uv4O68yfk,0.0,1.0,0.336,-5.803,1.0,0.0579,218388492,92.506,4.0,https://api.spotify.com/v1/tracks/7f1zjZG77S891Uv4O68yfk,Baby Sitter,audio_features,spotify:track:7f1zjZG77S891Uv4O68yfk,0.394,2019,55.0,"15,054"
1609,0.296,https://api.spotify.com/v1/audio-analysis/3WCXvxgQ7U3mznWsQjiEMu,Lil Loaded,0.871,131286.0,0.702,3WCXvxgQ7U3mznWsQjiEMu,0.0,5.0,0.0912,-8.025,1.0,0.253,217858494,125.089,4.0,https://api.spotify.com/v1/tracks/3WCXvxgQ7U3mznWsQjiEMu,6locc 6a6y,audio_features,spotify:track:3WCXvxgQ7U3mznWsQjiEMu,0.675,2019,69.0,"142,020"
1610,0.517,https://api.spotify.com/v1/audio-analysis/5WnfnSpuNEGXyEt78PBA6d,Dreamville,0.642,217867.0,0.647,5WnfnSpuNEGXyEt78PBA6d,0.0,7.0,0.0649,-6.312,0.0,0.428,217793973,120.749,4.0,https://api.spotify.com/v1/tracks/5WnfnSpuNEGXyEt78PBA6d,Costa Rica,audio_features,spotify:track:5WnfnSpuNEGXyEt78PBA6d,0.664,2019,61.0,"37,802"
1611,0.123,https://api.spotify.com/v1/audio-analysis/5qDsijQM75KTdv3RtSPx91,Lil Tjay,0.691,189480.0,0.602,5qDsijQM75KTdv3RtSPx91,0.0,9.0,0.0637,-6.807,0.0,0.209,217312806,151.987,4.0,https://api.spotify.com/v1/tracks/5qDsijQM75KTdv3RtSPx91,Hold On,audio_features,spotify:track:5qDsijQM75KTdv3RtSPx91,0.685,2019,62.0,"41,146"
1612,0.281,https://api.spotify.com/v1/audio-analysis/4E6RdcCWMiHTu7zy1VTNDo,Marília Mendonça,0.621,154661.0,0.743,4E6RdcCWMiHTu7zy1VTNDo,0.0,3.0,0.411,-3.864,1.0,0.0738,216972003,111.454,4.0,https://api.spotify.com/v1/tracks/4E6RdcCWMiHTu7zy1VTNDo,Todo Mundo Vai Sofrer,audio_features,spotify:track:4E6RdcCWMiHTu7zy1VTNDo,0.581,2019,61.0,"53,082"
1613,0.129,https://api.spotify.com/v1/audio-analysis/1ahVFh0ViDZr8LvkEVlq3B,Martin Garrix,0.44,207095.0,0.635,1ahVFh0ViDZr8LvkEVlq3B,0.0,11.0,0.121,-6.385,1.0,0.0326,216753611,128.133,4.0,https://api.spotify.com/v1/tracks/1ahVFh0ViDZr8LvkEVlq3B,No Sleep,audio_features,spotify:track:1ahVFh0ViDZr8LvkEVlq3B,0.327,2019,57.0,"21,888"
1614,0.112,https://api.spotify.com/v1/audio-analysis/44vXWYTcdrejrIQZEoHzl8,BTS,0.625,292773.0,0.663,44vXWYTcdrejrIQZEoHzl8,0.0,5.0,0.105,-5.115,1.0,0.0302,216271100,98.998,4.0,https://api.spotify.com/v1/tracks/44vXWYTcdrejrIQZEoHzl8,Lights,audio_features,spotify:track:44vXWYTcdrejrIQZEoHzl8,0.398,2019,54.0,"34,280"
1615,0.49,https://api.spotify.com/v1/audio-analysis/1U3tv41tFRgOfbytpuYQrR,Zé Neto & Cristiano,0.49,159164.0,0.845,1U3tv41tFRgOfbytpuYQrR,0.0,2.0,0.213,-3.359,1.0,0.0973,215965790,146.105,4.0,https://api.spotify.com/v1/tracks/1U3tv41tFRgOfbytpuYQrR,Ferida Curada,audio_features,spotify:track:1U3tv41tFRgOfbytpuYQrR,0.548,2019,65.0,"82,628"
1616,0.248,https://api.spotify.com/v1/audio-analysis/5KE9b4x7Zj2A8XtbkqhqTe,Post Malone,0.724,168280.0,0.772,5KE9b4x7Zj2A8XtbkqhqTe,0.0,6.0,0.308,-4.389,0.0,0.184,215940577,95.073,4.0,https://api.spotify.com/v1/tracks/5KE9b4x7Zj2A8XtbkqhqTe,Staring At The Sun,audio_features,spotify:track:5KE9b4x7Zj2A8XtbkqhqTe,0.347,2019,62.0,"39,957"
